OM azonosító;Intézmény megnevezése
028995;Miskolc-Diósgyőri Református Általános Iskola és Óvoda
029002;Alsóvadászi Tompa Mihály Általános Iskola
029003;Göőz József Általános Iskola
029004;Baktakéki Körzeti Általános Iskola
029007;Boldogkőváraljai Körzeti Általános Iskola
029013;Felsővadászi II. Rákóczi Ferenc Általános Iskola
029014;Forrói Gárdonyi Géza Általános Iskola
029018;Károlyi Gáspár Magyar-Szlovák Két Tanítási Nyelvű Általános Iskola
029020;Halmaji Gárdonyi Géza Általános Iskola
029021;Hernádvécsei Körzeti Általános iskola
029022;Hidasnémeti II. Rákóczi Ferenc Magyar-Szlovák Két Tanítási Nyelvű Általános Iskola
029024;Ináncsi Arany János Általános Iskola
029025;Fogarasi János Általános Iskola
029026;Béres Ferenc Általános Iskola
029028;Dayka Gábor Általános Iskola
029029;Novajidrányi Kölcsey Ferenc Általános Iskola
029033;Szalaszendi Körzeti Általános Iskola
029036;Vilmányi II. Rákóczi Ferenc Általános Iskola
029037;Vizsolyi Rákóczi Zsigmond Általános Iskola
029047;Szent Péter Görögkatolikus Általános Iskola
029048;Kazinczy Gábor Általános Iskola
029049;Lajos Árpád Általános Iskola
029050;Nyárády András Általános Iskola
029059;Ragályi Balassi Bálint Általános Iskola
029060;Gvadányi József Általános Iskola
029062;Magyar Máltai Szeretetszolgálat Sajókazai Balassi Bálint Általános Iskola
029070;Dr. Mészáros Kálmán Általános Iskola
029072;Hejőbábai Zrínyi Ilona Általános Iskola
029073;Hejőkeresztúri IV. Béla Általános Iskola
029074;Hejőpapi Általános Iskola
029078;Sajószögedi Kölcsey Ferenc Körzeti Általános Iskola és Alapfokú Művészeti Iskola
029080;Tiszapalkonyai Széchenyi István Általános Iskola
029083;Dr. Enyedy Andor Református Általános Iskola, Óvoda és Bölcsőde
029086;Lorántffy Zsuzsanna Református Általános Iskola
029096;Mezőkeresztesi Kossuth Lajos Általános Iskola
029100;Szentistváni István Király Általános Iskola
029107;Alsózsolcai Herman Ottó Általános Iskola és Alapfokú Művészeti Iskola
029110;Arnóti Weöres Sándor Általános Iskola
029112;Koncz József Általános Iskola és Alapfokú Művészeti Iskola
029113;Bükkaranyosi Általános Iskola
029115;Emődi II. Rákóczi Ferenc Általános Iskola
029118;Gesztelyi Csokonai Vitéz Mihály Általános Iskola
029119;Dőry Ferenc Körzeti Általános Iskola
029120;Harsányi Hunyadi Mátyás Általános Iskola
029121;Mátyás Király Katolikus Általános Iskola és Óvoda
029122;Hernádnémeti Református Általános Iskola, Két Tanítási Nyelvű és Alapfokú Művészeti Iskola
029123;Kesznyéteni Móra Ferenc Általános Iskola
029124;Kisgyőri Általános Iskola
029128;Nyékládházi Kossuth Lajos Általános Iskola
029129;Görgey Artúr Általános Iskola és Alapfokú Művészeti Iskola
029131;Pitypalatty-völgyi Református Körzeti Általános Iskola és Alapfokú Művészeti Iskola
029136;Rákóczi Julianna Általános Iskola
029139;Fráter György Katolikus Általános Iskola és Alapfokú Művészeti Iskola
029141;Sajóvámosi Arany János Általános Iskola
029142;Szirmabesenyői Szinyei Merse Pál Általános Iskola és Alapfokú Művészeti Iskola
029145;Szent II. János Pál Katolikus Általános Iskola
029148;Arlói Széchenyi István Általános Iskola
029149;Szent Mihály Katolikus Általános Iskola és Óvoda
029150;Borsodbótai Körzeti Általános Iskola
029156;Szent Anna Katolikus Általános Iskola és Óvoda
029157;Járdánházi IV. Béla Általános Iskola
029168;Kenézlői Általános Iskola
029172;Tolcsvai Általános Iskola
029176;BERECZ KÁROLY NAPSUGÁR MŰVÉSZETI ÓVODA ÉS MINI BÖLCSŐDE
029178;Kántor Mihály Általános Iskola
029184;Karcsai Általános Iskola
029190;Nagyrozvágyi Általános Iskola
029192;Pácini Általános Iskola
029195;Ricsei II. Rákóczi Ferenc Általános Iskola
029198;Sánta Erzsébet Általános Iskola
029201;Ilosvai Selymes Péter Általános Iskola
029203;Bekecsi II. Rákóczi Ferenc Informatikai és Matematikai Általános Iskola és Szakgimnázium
029204;Bodrogkeresztúri Eötvös József Általános Iskola
029207;Csobaji Általános Iskola
029210;Legyesbényei Zalay Andor Általános Iskola
029211;Koroknay Dániel Tehetséggondozó Általános Iskola
029212;Megyaszói Mészáros Lőrinc Körzeti Általános Iskola
029214;Mezőzombori Kölcsey Ferenc Általános Iskola
029216;Prügyi Móricz Zsigmond Általános Iskola
029217;Rátkai Német Nemzetiségi Általános Iskola
029220;Taktaharkányi Apáczai Csere János Általános Iskola
029221;Taktakenézi Petőfi Sándor Általános Iskola
029222;Taktaszadai Móra Ferenc Általános Iskola
029223;Tarcali Klapka György Általános Iskola
029226;Tiszalúci Arany János Általános Iskola
029229;Patay Sámuel Általános Iskola
029230;Bódvaszilasi Körzeti Általános Iskola
029231;Szathmáry Király Ádám Körzeti Általános Iskola
029232;Borsodsziráki Bartók Béla Általános Iskola
029236;Laki Körzeti Általános Iskola
029239;Rakacai Általános Iskola
029240;Szalonnai Kalász László Általános Iskola
029241;Szendrői Apáczai Csere János Általános Iskola
029242;Szendrőládi Általános Iskola
029243;Szini Általános Iskola
029244;SZÖGLIGETI NAPKÖZIOTTHONOS ÓVODA
029248;Aggteleki Általános Iskola
029261;Miskolci Herman Ottó Gimnázium
029262;Diósgyőri Gimnázium
029263;Miskolci Zrínyi Ilona Gimnázium
029264;Avasi Gimnázium
029265;Tiszaújvárosi Eötvös József Gimnázium és Kollégium
029269;Tokaji Gróf Széchenyi István Középiskolai Kollégium
029280;Sárospataki Árpád Vezér Gimnázium és Kollégium
029281;Lévay József Református Gimnázium és Diákotthon
029308;Miskolci Bartók Béla Zene- és Táncművészeti Szakgimnázium
029374;Szikszói Móricz Zsigmond Általános Iskola
029379;Földes Ferenc Gimnázium
029427;MAKÓI ÓVODA
029447;Mórahalmi Lurkó Világ Óvoda
029469;Clarisseum Református Óvoda
