OM azonosító;Intézmény megnevezése
201668;Bóbita Varázspalota Magánóvoda
201669;Szent István Római Katolikus Általános Iskola és Óvoda
201670;Endrődi Sándor Református Általános Iskola és Kézilabda-Utánpótlásközpont
201671;Lurkó Óvoda
201672;Icinke-picinke Óvoda és Bölcsőde Rezi
201673;Őcsényi Tarkabarka Óvoda és Családi Bölcsőde
201674;Kossuth Lajos Evangélikus Általános Iskola és Alapfokú Művészeti Iskola
201675;Berkesdi Óvoda és Konyha
201676;Vajda Péter Evangélikus Gimnázium
201677;TÁSKAI TŐZIKE ÓVODA
201678;Adácsi Szent Jakab Katolikus Általános Iskola és Sportiskola
201679;TISZANAGYFALUI ÓVODA ÉS BÖLCSŐDE
201680;Győrújbaráti Pitypang Óvoda és Konyha
201681;Tyukodi Csodák Világa Óvoda és Bölcsőde
201682;Balatonfüredi Református Általános Iskola és Óvoda
201683;Dadi Református Egyházközség Általános Művelődési Központja
201684;Jászapáti Szent Imre Katolikus Általános Iskola
201685;Szabadegyházai Kincsem Óvoda-Mini Bölcsőde és Konyha
201686;Szomódi Százszorszép Óvoda
201687;Szegedi Bárczi Gusztáv Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda és Általános Iskola
201688;RÉDICSI NAPSUGÁR ÓVODA
201689;Reményhír Gimnázium, Szakképző Iskola, Általános Iskola, Óvoda és Alapfokú Művészeti Iskola
201691;Csopaki Református Általános Iskola
201693;SZIGETSZENTMIKLÓSI PITYPANG ÓVODA
201694;Makói Katolikus Általános Iskola és Óvoda
201695;Launai Miklós Református Általános Iskola, Alapfokú Művészeti Iskola és Művészeti Szakgimnázium
201696;Magyar Szentek Római Katolikus Óvoda és Általános Iskola
201697;Péteri Aprók Háza Óvoda
201698;Bernáth Kálmán Református Gimnázium, Kereskedelmi és Vendéglátóipari Technikum és Szakképző Iskola
201699;Kazinczy Ferenc Református Általános Iskola és Óvoda
201700;Petőfi Sándor Református Általános Iskola
201701;Vincze Imre Református Általános Iskola
201702;NYÍRMIHÁLYDI ESZTERLÁNC ÓVODA ÉS KONYHA
201703;Szabadegyházi Kossuth Lajos Általános Iskola
201704;Móricz Zsigmond Református Kollégium, Gimnázium, Technikum, Általános Iskola és Óvoda
201705;Demecseri Tündérkert Óvoda és Bölcsőde
201706;KOCSI MESEKERT ÓVODA ÉS BÖLCSŐDE
201707;Győrzámolyi Tündérrózsa Óvoda és Bölcsőde
201708;Lovászi Óvoda
201709;FUND Cigány Alapfokú Művészeti Iskola
201711;Szent György Katolikus Óvoda, Általános Iskola és Alapfokú Művészeti Iskola
201712;ÓPÁLYI MESEVÁR ÓVODA
201713;Angyalok Kertje Görögkatolikus Óvoda
201714;Nyírtassi Tas Vezér Általános Iskola
201715;Nyírtassi Hétszínvirág Óvoda és Bölcsőde
201716;Báthory Anna Református Általános Iskola és Óvoda
201717;Boldog Brenner János Katolikus Általános Iskola
201718;NYÍRGYULAJI GESZTENYE ÓVODA, BÖLCSŐDE ÉS SZOCIÁLIS SZOLGÁLTATÓ KÖZPONT
201719;Ugri-Bugri óvoda
201720;SZENDRŐLÁDI ÓVODA
201721;Nagyhalászi Református Óvoda
201722;Felsőzsolcai Szent István Katolikus Általános Iskola
201723;Biai Gáspár Református Általános Iskola és Szőlőszem Óvoda
201724;Eötvös József Református Oktatási Központ - Óvoda, Általános Iskola, Gimnázium, Technikum, Szakképző Iskola és Alapfokú Művészeti Iskola
201725;Balatonfüredi Fekete István Általános Iskola, Egységes Gyógypedagógiai Módszertani Intézmény
201726;Bolyai János Katolikus Általános Iskola
201727;Zsadányi Református Általános Iskola
201729;Baptista Szeretetszolgálat Csicsergő Óvodája
201730;Baptista Alapfokú Művészeti Iskola
201731;Nagykun Baptista Oktatási Központ Általános Iskola, Gimnázium, Technikum, Szakképző Iskola és Kollégium
201733;Zöldliget Magyar-Angol Két Tanítási Nyelvű Baptista Általános Iskola és Gimnázium
201734;Csuha Antal Baptista Általános Iskola, Technikum és Szakképző Iskola
201735;Baptista Szeretetszolgálat Kisújszállási Óvodája
201736;Gyöngyösoroszi Általános Művelődési Központ
201737;Zalaszentlászlói Makovecz Imre Óvoda-bölcsőde
201738;Hunyadi János Katolikus Általános Iskola és Óvoda
201739;Felsőzsolcai Napközi Otthonos Óvoda és Bölcsőde
201740;Kazinczy Ferenc Baptista Óvoda, Általános Iskola és Alapfokú Művészeti Iskola
201743;Litéri Református Általános Iskola
201744;Váci Mihály Katolikus Általános Iskola
201745;Podmaniczky János Evangélikus Óvoda és Általános Iskola
201747;Kisboldogasszony Katolikus Általános Iskola
201748;Vadrózsa Óvoda
201749;Nemesszalóki Általános Iskola
201751;HODÁSZI ESZTERLÁNC ÓVODA ÉS MINI BÖLCSŐDE
201752;Palásti László Általános Iskola és Óvoda
201754;SZOMBATHELYI VADVIRÁG ÓVODA
201755;Munkácsy Mihály Katolikus Általános Iskola Balástya
201756;KOSZISZ Szent István Gimnázium
201757;TISZADADAI NYITNIKÉK ÓVODA ÉS KONYHA
201758;KÉKI MESEKERT ÓVODA
201759;Fenyves Óvoda
201760;KÖMLŐDI GÉZENGÚZ NAPKÖZIOTTHONOS ÓVODA ÉS KISCSIBE MINI BÖLCSŐDE
201761;Diósgyőri Szent Ferenc Római Katolikus Általános Iskola és Óvoda
201766;Szászbereki Kolping Katolikus Általános Iskola
201767;Kazinczy Ferenc Református Általános Iskola és Óvoda
201768;KOSZISZ Timaffy Endre Általános Iskola,Tündérkert Óvoda és Bölcsőde
201769;SZUHOGYI NYITNIKÉK ÓVODA
201770;Zsadányi Tündérkert Óvoda
201771;KÁPTALANFAI NAPKÖZI OTTHONOS ÓVODA
201772;Balástyai Csudavilág Óvoda és Bölcsőde
201773;Nyírpazonyi Aranyalma Óvoda, Bölcsőde, Családi Bölcsőde és Konyha
201774;Hernádnémeti Napközi Otthonos Óvoda és Bölcsőde
201777;Pusztaszabolcsi Városi Óvoda és Bölcsőde
201778;Szent Orsolya Római Katolikus Általános Iskola és Óvoda
201779;Nagyboldogasszony Katolikus Általános Iskola és Óvoda
201780;PÁPAKOVÁCSI MESEVÁR NÉMET NEMZETISÉGI ÓVODA
201781;Petrovay György Katolikus Általános Iskola, Alapfokú Művészeti Iskola, Óvoda
201782;Gyerekbirodalom 2 Óvoda
201783;Szent János Katolikus Bölcsőde, Óvoda, Általános Iskola és Alapfokú Művészeti Iskola
201784;Szent László Katolikus Általános Iskola és Alapfokú Művészeti Iskola
201785;Néri Szent Fülöp Katolikus Általános Iskola és Óvoda
201787;Mátyás Király Katolikus Általános Iskola és Óvoda
201788;Reményik Sándor Református Általános Iskola, Alapfokú Művészeti Iskola és Óvoda
201789;SZÁRI NAPSUGÁR KINDERGARTEN ÓVODA ÉS BÖLCSŐDE
201790;Almafa Óvoda
201791;Petőfi Sándor Római Katolikus Általános Iskola és Gimnázium
201792;Borostyán Természetvédő Óvoda
201793;KarrierSuli Esti Gimnázium
201794;Gárdonyi Géza Katolikus Általános Iskola és Óvoda
201797;Bökönyi Barota Mihály Általános Iskola
201798;Rábapatonai Katica Óvoda
201799;Avicenna International College Magyar-Angol Két Tanítási Nyelvű Gimnáziuma
201801;Chiovini Ferenc Általános Iskola és Alapfokú Művészeti Iskola
201802;Miskolc-Szirmai Református Általános Iskola, Alapfokú Művészeti Iskola és Óvoda
201803;Tatabányai Német Nemzetiségi Óvoda
201804;Füzes Utcai Általános Iskola
201805;TATABÁNYAI ARANY JÁNOS ÓVODA
201806;MOA Magán Általános Iskola
201808;CSETÉNYI CSICSERGŐ ÓVODA, BÖLCSŐDE ÉS MINI BÖLCSŐDE
201811;NAPRAFORGÓ ÓVODA ÉS BÖLCSŐDE
201815;Vackor Művészeti Modell Óvoda és Mini Bölcsőde
201818;Zagyvaszántói Római Katolikus Általános Iskola
201820;Marcali Óvodai Központ
201821;Csipkebogyó Waldorf Óvoda
201822;Bakony-völgye Óvoda és Mini Bölcsőde
201823;Tápiószőlős-Újszilvás Református Általános Iskola és Óvoda
201824;Ritsmann Pál Német Nemzetiségi Általános Iskola és Gimnázium
201825;Petőfi Sándor Baptista Általános Iskola, Gimnázium és Technikum
201827;Gyomaendrőd-Csárdaszállás-Hunya Kistérségi Óvoda és Bölcsőde
201828;PANYOLAI NAPKÖZI OTTHONOS ÓVODA ÉS KONYHA
201829;Sója Miklós Görögkatolikus Óvoda és Általános Iskola
201830;NÁBRÁDI NAPKÖZI OTTHONOS ÓVODA ÉS KONYHA
201831;Boldogfalva Óvoda
201833;Zalai Waldorf Óvoda, Általános Iskola és Alapfokú Művészeti Iskola
201834;RÁBATAMÁSI KÖRZETI ÓVODA
201835;Napsugár Napköziotthonos Óvoda
201836;QSI Nemzetközi Iskola Magyarország
201838;István Király Baptista Általános Iskola
201839;Baptista Szeretetszolgálat Gyöngyszem Óvodája
201842;Delfin ÚszóSport Óvoda
201843;Szőlőszem Óvoda
201844;Tiborszállási Péchy László Adventista Általános Iskola
201845;Tiborszállási "Nyitnikék" Adventista Óvoda
201847;Delfin Óvoda
201851;Úri Napsugár Óvoda és Mini Bölcsőde
201852;HEVESARANYOSI ÓVODA
201855;Szivárvány Óvoda, Bölcsőde és Könyvtár
201856;Egercsehi Mesekert Óvoda és Bölcsőde
201857;RÓZSASZENTMÁRTONI LABDARÓZSA ÓVODA, MINI BÖLCSŐDE ÉS KONYHA
201858;Szűcsi Óvoda
201859;Újszász Városi Óvoda és Bölcsőde
201860;Kertai Közös Fenntartású Óvoda
201861;Szilvásváradi Manóvár Óvoda
201862;Magyar Máltai Szeretetszolgálat Tiszaburai Óvoda
201864;Jászszentandrási Gyermekvilág Óvoda
201865;FERENCZY IDA ÓVODA
201866;Kálmán Lajos Óvoda
201868;Corvina Óvoda
201871;Margaréta Óvoda és Bölcsőde
201872;Sükösdi Tulipánfa Óvoda és Mini Bölcsőde
201873;Hartai Hétszínvirág Óvoda és Mini Bölcsőde
201874;NAGYFÜGEDI CSICSERGŐK ÓVODA
201875;Tárogató Óvoda
201876;Erzsébet Ligeti Óvoda
201877;Bartók Óvoda
201878;Nagybácsai Óvoda
201879;Szigetvár Óvodái, Bölcsődéi és Konyhái
201880;Abasári Napsugár Óvoda és Mini Bölcsőde
201881;Sásdi Általános Művelődési Központ és Konyhák
201882;Kismarosi Kis Morgó Óvoda és Bölcsőde
201883;Mezőtúri Városi Intézmény - Csoda-vár Központi Óvoda és Bölcsőde
201884;Petőfi Sándor Általános Művelődési Központ Cserkeszőlő
201885;Hétszínvirág Óvoda
201886;BAKONYNÁNAI APRÓNÉPEK NÉMET NEMZETISÉGI ÓVODA
201887;Tiszasasi Általános Művelődési Központ
201888;Csodavár Óvoda
201889;Homokkerti Pitypang Óvoda
201890;MENDE MESEVÁR ÓVODA-BÖLCSŐDE
201891;Kislángi Csicsergő Óvoda-Mini Bölcsőde és Konyha
201892;Regenbogen Német Nemzetiségi Óvoda és Művelődési Ház
201893;Borsodnádasdi Mesekert Óvoda
201894;VASKÚT-BÁTMONOSTOR NÉMET NEMZETISÉGI ÓVODA
201895;Somlóvásárhelyi Napköziotthonos Óvoda és Bölcsőde
201896;Rumi Játékvár Óvoda és Mini Bölcsőde
201898;Szentlászló-Almamellék-Somogyhárságy Óvodái és Konyhái
201899;KASTÉLYKERTI ÓVODA ÉS MINI BÖLCSŐDE
201900;Sün Balázs Óvoda
201901;Csóti Csodavilág Óvoda és Mini Bölcsőde
201902;Ménfőcsanaki Óvoda
201903;Újkerti Manófalva Óvoda
201904;BALATONVILÁGOSI SZIVÁRVÁNY ÓVODA
201906;TISZADOROGMAI ÓVODA
201907;MOSOLYFALVA ÓVODA
201908;Romonyai Óvoda
201909;Tiszainokai Tiszavirág Óvoda
201910;Nagykozári Óvoda
201911;Bői Óvoda
201912;Majsi Óvoda és Mini Bölcsőde
201913;Egerbocsi Iciri-Piciri Óvoda
201914;Berekfürdői Csicsergő Óvoda és Mini Bölcsőde
201916;CSODAKERT ÓVODA ÉS MINI BÖLCSŐDE
201917;SZEREMLEI BÓBITA NAPKÖZIOTTHONOS ÓVODA ÉS SZOCIÁLIS SZOLGÁLTATÓ
201918;Nemesnádudvari Német Nemzetiségi Óvoda
201919;KIMLEI NEMZETISÉGI ÓVODA ÉS MINI BÖLCSŐDE
201920;ÁSVÁNYRÁRÓI TÜNDÉRKERT ÓVODA ÉS MINI BÖLCSŐDE
201922;TARNAÖRSI ÓVODA, KÖZMŰVELŐDÉSI INTÉZMÉNY ÉS KÖZSÉGI KÖNYVTÁR
201923;Noszvaji Cseperedő Óvoda-Bölcsőde
201924;Novaji Napközi Otthonos Óvoda
201925;Bertha György Általános Művelődési Központ
201926;Körösmenti Óvoda
201927;POROSZLÓI NAPSUGÁR ÓVODA ÉS BÖLCSŐDE
201928;Mezőhegyes Városi Önkormányzat József Attila Általános Művelődési Központja
201929;NYÍRTURAI MÓRA FERENC ÓVODA, MINI BÖLCSŐDE, KONYHA, KÖZÖSSÉGI HÁZ ÉS KÖNYVTÁR
201930;Somogyszobi Óvoda
201931;Balatonföldvári Mesevár Óvoda és Tengerszem Bölcsőde
201932;Magyarbánhegyesi Mesevár Óvoda és Bölcsőde
201933;FÜZESGYARMATI "LURKÓFALVA" ÓVODA
201934;Dégi Bóbita Óvoda-Bölcsőde és Konyha
201935;Faddi Kismanók Óvoda, Bölcsőde és Mini Bölcsőde
201936;Dévaványai Általános Művelődési Központ és Bölcsőde
201937;Tiszanánai Tündérkert Óvoda és Bölcsőde
201938;Felsőtárkányi Óvoda és Bölcsőde
201939;Mohács Térségi Óvodaközpont, Bölcsőde és Családi Bölcsőde Hálózat
201940;Somogyjádi Mikrotérségi Mesevár Óvoda és Mini Bölcsőde
201941;Csátalja Óvoda
201942;Csöglei Óvoda
201943;Nagyalásonyi Napköziotthonos Óvoda
201944;Kömlői Óvoda és Bölcsőde
201945;Tószegi Óvoda és Bölcsőde
201946;ZAGYVARÉKASI ÉGSZÍNKÉK ÓVODA ÉS KONYHA
201947;Játéksziget Óvoda és Mini Bölcsőde
201948;Dunaföldvári Eszterlánc Óvoda, Bölcsőde és Konyha
201949;Öcsödi Szivárvány Óvoda és Bölcsőde
201951;Himesházi Óvoda, Családi Bölcsőde és Konyha
201952;Szakáldi Manócskák Óvoda és Konyha
201953;Szabadszállási Általános Művelődési Központ
201954;Bagaméri Napközi Otthonos Óvoda
201955;Kokad Napközi Otthonos Óvoda
201956;JÁNOSHIDAI NAPSUGÁR ÓVODA ÉS MINI BÖLCSŐDE
201957;HEJŐKERESZTÚRI GESZTENYÉSKERT ÓVODA ÉS KONYHA
201958;Hejőszalontai Napsugár Óvoda és Konyha
201959;Ostffyasszonyfai Petőfi Sándor Óvoda
201960;Lövői Napsugár Óvoda
201961;Lepsényi Napraforgó Óvoda és Mini Bölcsőde
201962;Szentpéterszeg Mesevilág Óvoda
201963;Füzesabonyi Pöttömke Óvoda és Bölcsőde
201964;EPRESKERT ÓVODA ÉS MINI BÖLCSŐDE
201965;Gáborjáni Mocorgó Óvoda és Mini Bölcsőde
201966;Csanádpalota Térségi Napsugár Óvoda és Bölcsőde Többcélú Közös Igazgatású Köznevelési Intézmény
201967;TÜNDÉRKERT Óvoda
201968;Rábapatyi Gyermekliget Óvoda és Bölcsőde
201969;SZAJOLI TISZAVIRÁG ÓVODA ÉS HARMATCSEPP BÖLCSŐDE
201970;Kisnánai Mesevár Óvoda
201971;Mesevár Óvoda, Bölcsőde és Mini Bölcsőde
201972;Delfino Óvoda
201973;Töltéstavai Napraforgó Óvoda
201974;EGERÁGI TÁLTOS CSIKÓ ÓVODA ÉS MINI BÖLCSŐDE
201975;Öreglaki Kerekerdő Óvoda
201976;Hajósi Óvoda és Bölcsőde
201977;Baksai Óvoda
201978;GÖDREI TÜNDÉRKERT ÓVODA ÉS KONYHA
201979;SOKORÓPÁTKAI ÓVODA, MINI BÖLCSŐDE, ÁLTALÁNOS MŰVELŐDÉSI KÖZPONT
201980;HÁCS NAPSUGÁR ÓVODA
201981;Tokaji Gyermekkert Óvoda és Bölcsőde
201982;LENGYELTÓTI KINCSEM ÓVODA
201983;Miskei Óvoda
201985;SZALÁNTAI ÓVODA ÉS KONYHA
201986;BUZSÁKI TULIPÁN ÓVODA ÉS MINI BÖLCSŐDE
201987;Somogyvámosi Tarkarét Óvoda
201988;BIHARTORDAI ÓVODA ÉS MINI BÖLCSŐDE
201989;SOMOGYVÁRI TÜNDÉRKERT ÓVODA ÉS BÖLCSŐDE
201990;ERDŐTELKI KEREKERDŐ ÓVODA ÉS MANÓCSKA CSALÁDI BÖLCSŐDE
201991;Győrsági Kincseskert Óvoda és Konyha
201992;PÖTTÖMKERT ÓVODA
201993;Tarnazsadányi Óvoda
201994;Jakabszállási Óvoda és Bölcsőde
201995;Szúcsi Zöldliget Óvoda
201997;DUNAEGYHÁZI MÁKSZEM ÓVODA
201998;Nagydorogi Szivárvány Óvoda, Mini Bölcsőde és Konyha
201999;Dr. Végh János Óvoda-Mini Bölcsőde és Konyha
202000;Varázskert Román Nemzetiségi Óvoda
202001;VÁROSFÖLDI ÓVODA
202002;Dél-Alföldi Kistérség Többcélú Társulása Óvodái, Bölcsődéi és Mini Bölcsődéi
202003;Kunbaracs Óvoda
202004;Bekecsi Általános Művelődési Központ, Lurkó-ház Óvoda és Bölcsőde, Művelődési Ház
202005;Kunágotai Óvoda és Mini Bölcsőde
202007;Fajszi Montessori Mesevonat Óvoda és Mini Bölcsőde
202008;KISBÉRI GYÖNGYSZEM ÓVODA ÉS BÖLCSŐDE
202009;Ikervári Mesevár Óvoda és Bölcsőde
202010;DOROGI ZRÍNYI ILONA ÓVODA
202011;BÁTASZÉKI MIKROTÉRSÉGI ÓVODA, BÖLCSŐDE ÉS KONYHA
202012;Gólyafészek Óvoda és Bölcsőde
202013;Tiszagyulaházi Aprajafalva Óvoda
202014;ÚJTIKOSI LURKÓ-KUCKÓ ÓVODA, MINI BÖLCSŐDE ÉS SZOCIÁLIS SZOLGÁLTATÓ
202015;Dusnoki Óvoda és Bölcsőde
202016;Mátraballai Csodaszarvas Óvoda
202017;Mátraderecskei Szivárvány Óvoda és Bölcsőde
202018;ZÁHONYI HUGÓNÉ ÓVODA
202019;Nyírmártonfalvai Mosolykert Óvoda és Mesevilág Bölcsőde
202020;Kunadacsi Igazgyöngy Óvoda
202021;Gyöngyöshalászi Általános Művelődési Központ
202022;Ladánybenei Csiribiri Óvoda és Mini Bölcsőde
202023;Bodrogolaszi Óvoda
202024;Besenyőteleki Bóbita Óvoda és Bölcsőde
202025;TÁLLYAI ZEMPLÉNI ÁRPÁD ÓVODA-BÖLCSŐDE ÉS ÁLTALÁNOS MŰVELŐDÉSI KÖZPONT
202026;Keszegi Óvoda
202028;Furtai Általános Művelődési Központ
202029;Balatonszabadi Aranyalma Óvodája, Bölcsődéje és Mini Bölcsődéje
202030;Csólyospálosi Nyitnikék Óvoda és Mini Bölcsőde
202031;Gesztenyéskerti Napköziotthonos Óvoda és Mini Bölcsőde
202032;Törökkoppányi Napköziotthonos Óvoda
202033;HAJDÚBAGOSI ÓVODA ÉS BÖLCSŐDE
202034;Váchartyáni Mesekert Óvoda és Mini Bölcsőde
202035;Monostorpályi Óvoda-Bölcsőde
202036;Dögei Meserét Óvoda, Mini Bölcsőde, Család- és Gyermekjóléti Szolgálat
202037;Nemesdédi Óvoda
202038;Böhönyei Gézengúz Óvoda és Bóbita Bölcsőde
202039;Barcs Város Óvodája és Bölcsődéje
202040;Perkátai Általános Művelődési Központ
202041;Bagodi Napsugár Óvoda és Bölcsőde
202042;Nagymányoki Pitypang Óvoda és Bölcsőde
202043;Beszterec Napsugár Óvoda
202044;Vései Óvoda
202045;TISZAKÜRTI ÓVODA, BÖLCSŐDE ÉS KONYHA
202046;Kaskantyúi Napköziotthonos Óvoda
202047;Csengőcskék Óvoda és Mini Bölcsőde
202048;Tabdi Napköziotthonos Óvoda és Mini Bölcsőde
202049;Gégény Napsugár Óvoda, Bölcsőde és Konyha
202050;Páhi Tündérkert Óvoda, Mini Bölcsőde és Konyha
202051;Soltszentimrei Szivárvány Óvoda, Mini Bölcsőde és Konyha
202052;TISZABERCELI MESEVÁR ÓVODA
202053;Vackor Művészeti Óvoda és Mini Bölcsőde
202054;Mandula Néni Óvodája
202055;Kiskőrösi Óvodák
202056;Fülöpszállási Mesevár Óvoda és Bölcsőde
202057;Siófoki Napsugár Óvoda
202058;Császártöltési Német Nemzetiségi Óvoda
202059;Nagyberényi Pillangó Óvoda és Konyha
202060;Bácsbokodi Óvoda és Bölcsőde
202061;Csigabiga Óvoda és Bölcsőde
202062;Ádándi Kippkopp Óvoda és Bölcsőde
202063;Forráskúti Margarét Óvoda és Bölcsőde
202064;Medgyesegyházi Varázserdő Óvoda és Mini Bölcsőde
202065;Bucsa Község Napközi Otthonos Óvoda és Mini Bölcsőde
202066;FELSŐSZENTIVÁNI NAPKÖZI OTTHONOS ÓVODA ÉS BÖLCSŐDE
202067;Sárbogárdi Zengő Óvoda
202068;Tataházi Mosolyvár Napközi Otthonos Óvoda
202069;Fityeházi Óvoda
202070;Bácsborsód Községi Óvoda
202071;MURAKERESZTÚRI ÓVODA
202072;Balatonendrédi Kerekerdő Óvoda
202073;Katymár Községi Óvoda
202074;Sarudi Tavirózsa Óvoda
202075;Sarkadkeresztúr Község Önkormányzata Óvoda Intézménye
202076;Jászárokszállási Városi Óvoda
202077;Vásárosdombói Mesevár Óvoda
202079;Kocsolai Gyermeklánc Óvoda
202080;Nak Községi Óvoda
202081;PELLÉRDI ÁLTALÁNOS MŰVELŐDÉSI KÖZPONT ÉS KONYHA
202082;Gyódi Óvoda
202083;OKÁNY KÖZSÉG ÖNKORMÁNYZATA ÓVODA ÉS BÖLCSŐDE INTÉZMÉNYE
202084;Nyíradonyi Szivárvány Önkormányzati Óvoda
202085;SZIHALMI KISVAKOND ÓVODA ÉS BÖLCSŐDE
202086;Ságújfalui Makkocska Óvoda
202087;Karancssági Kerekerdő Óvoda
202088;Wosinsky Mór Óvoda
202090;Nagyrábéi Óvoda-Bölcsőde, Család- és Gyermekjóléti Szolgálat
202091;Pankasz, Kisrákos, Viszák Óvodája
202092;Bóbita Óvoda és Mini Bölcsőde
202093;Nádasdladányi Sün Balázs Óvoda és Mini Bölcsőde
202094;Hőgyészi Somvirág Óvoda és Mini Bölcsőde
202095;Olaszi Óvoda és Konyha
202096;Angyalvár Óvoda
202097;Várdombi Bölcsőde, Óvoda és Konyha
202098;KÖTEGYÁN KÖZSÉG ÖNKORMÁNYZATÁNAK ÓVODA ÉS KONYHA INTÉZMÉNYE
202099;Ludányhalászi Mesekert Óvoda
202100;SARKAD VÁROS ÖNKORMÁNYZAT ÓVODA
202101;Bugaci Boróka Óvoda-Bölcsőde Többcélú Intézmény
202102;Tüskevári Óvoda
202103;Kakasdi Bezerédj Amália Óvoda és Mini Bölcsőde
202104;Bárnai Csicsergő Óvoda, Mini Bölcsőde és Konyha
202105;BÉLAPÁTFALVAI SZÁZSZORSZÉP ÓVODA, BÖLCSŐDE ÉS KONYHA
202107;Tiszarád Szivárvány Óvoda
202108;Nagylóki Csicsergő Óvoda-Bölcsőde és Konyha
202109;Ibrány Városi Óvoda
202110;Krasznokvajdai Óvoda
202111;Mágocsi Tündérkert Óvoda-Bölcsőde
202112;Zalaszentiváni Füles Mackó Óvoda
202113;Lakhegy Erdőszéli Óvoda
202114;Écsi Napraforgó Óvoda és Bölcsőde
202115;KURDI NAPSUGÁR ÓVODA ÉS KONYHA
202116;Egervári Mesevár Óvoda és Mini Bölcsőde
202117;Szent László Óvoda és Bölcsőde
202118;PIRICSEI MESEVÁR ÓVODA, BÖLCSŐDE ÉS KONYHA
202119;DÁVODI FORRÁS ÓVODA ÉS BÖLCSŐDE
202120;Balatonszárszói Százszorszép Óvoda és Mini Bölcsőde
202121;Nyírbogáti Mesekert Óvoda-Bölcsőde
202122;TAKTASZADAI MICIMACKÓ ÓVODA-BÖLCSŐDE-KONYHA
202123;Mátyásdombi Eszterlánc Óvoda
202125;Nagyberki Manó Tanoda Óvoda
202126;GERESDLAKI NAPRAFORGÓ NÉMET NEMZETISÉGI ÓVODA ÉS KONYHA
202127;PUSZTAMAGYARÓDI ÓVODA ÉS KONYHA
202128;Zádorfalva Óvoda
202129;Bánokszentgyörgyi Pitypang Óvoda
202130;Kaposmérői Bokréta Óvoda és Mini Bölcsőde
202131;Szabadbattyáni Cifrakert Óvoda-Bölcsőde
202132;RICSEI II. RÁKÓCZI FERENC ÓVODA, MINI BÖLCSŐDE ÉS KONYHA
202133;Kiskunmajsai Napsugár Óvoda
202134;FÉNYESLITKEI LIGETSZÉPE ÓVODA ÉS BÖLCSŐDE ÉS LIGETKE BÖLCSŐDE
202135;Kincskereső Óvoda és Bölcsőde
202136;MÓRÁGYI ÓVODA
202137;Galgagutai Manóvár Óvoda és Mini Bölcsőde
202138;Iváncsai Mesepalota Művészeti Óvoda-Mini Bölcsőde
202139;Ormosbányai Százszorszép Óvoda
202140;Szandai Pitypang Óvoda
202141;TARANYI MESEVÁR ÓVODA, EPERKE MINI BÖLCSŐDE
202142;Nógrádsápi Hétszínvirág Óvoda és Mini Bölcsőde
202143;Halmaji Kastély Óvoda, Bölcsőde és Konyha
202144;CSŐVÁRI ÓVODA ÉS MINI BÖLCSŐDE
202145;Becskei Kerek-Perec Óvoda
202146;Pocsaj Óvoda és Bölcsőde
202147;Endrefalvai Napsugár Óvoda
202148;Pilinyi Napraforgó Óvoda
202150;Zákány Napsugár Óvoda-Bölcsőde és Konyha Többcélú Intézmény
202151;Timári Napköziotthonos Óvoda
202152;Varga Domokos Általános Művelődési Központ
202153;LEÁNYFALU TÜNDÉRKERT ÓVODA ÉS KONYHA
202154;ACSAI PITYPANG ÓVODA ÉS MINI BÖLCSŐDE
202155;Siklósi Óvoda és Bölcsőde
202156;SZARVAS VÁROS ÓVODÁJA ÉS BÖLCSŐDÉJE
202157;Apagyi Napsugár Óvoda és Bölcsőde, Szociális Étkeztetés
202158;ÁTÁNYI MOSOLYSZIGET ÓVODA - MINIBÖLCSŐDE ÉS KONYHA
202159;Erdőkürti Nefelejcs Óvoda
202160;Nézsa Csodakert Óvoda és Bölcsőde
202161;Ceredi Gesztenyéskert Óvoda
202162;Csökölyi Hétszínvirág Óvoda és Mini Bölcsőde
202163;Fülöpi Óvoda és Bölcsőde
202164;Jármi Játéksziget Óvoda
202165;NAGYCSERKESZI NYITNIKÉK ÓVODA ÉS KONYHA
202167;Aszalói Óvoda, Bölcsőde és Konyha
202168;SZAKCSI ÓVODA ÉS KONYHA
202169;Újpetrei Óvoda
202171;Alsónemesapáti Maci Óvoda
202172;Sombereki Óvoda, Családi Bölcsőde és Konyha
202173;Lukácsházi Gyöngyház Óvoda, Bölcsőde és Konyha
202174;Zalabéri Kastélykert Óvoda
202175;TÓTSZERDAHELYI ÓVODA ÉS KONYHA
202176;Tótszentmártoni Napköziotthonos Óvoda
202177;Tengelici Mézeskalács Óvoda és Mini Bölcsőde
202180;Zombai Körzeti Óvoda és Mini Bölcsőde
202181;Tófeji "Mesesziget" Óvoda
202182;Gyulaházai Életfa Óvoda
202183;Tarnaleleszi Általános Művelődési Központ
202184;Pácini Bárókert Óvoda, Mini Bölcsőde és Konyha
202185;Maroslelei Zengő Óvoda és Bölcsőde
202186;Simonyi Károly Óvoda
202187;Ágasegyháza Napközi Otthonos Óvoda és Bölcsőde
202188;Orgoványi Napköziotthonos Óvoda és Bölcsőde
202189;Görgetegi Napköziotthonos Óvoda
202190;Rinyaszentkirályi Mini Manó Óvoda
202191;GARAI NEMZETISÉGI ÓVODA ÉS BÖLCSŐDE
202192;Zalacsányi Csány László Óvoda
202193;Bogyiszlói Kistarisznya Óvoda és Mini Bölcsőde
